MACH,WAFER_ID,Vf,TOUCHDOWN,PD,X_UM,Y_UM,TE_LABEL,TYPE,LDI_mA,FLAG,ITH
LIV_54,QCHZ2,1.726166,4,7.208543,-43119,-59966,63N0G,BL LASER,37,,12.703815026768893
LIV_54,QCHZ2,1.731327,4,7.504297,-43119,-59966,63N0G,BL LASER,38,,12.703815026768893
LIV_54,QCHZ2,1.736412,4,7.798407,-43119,-59966,63N0G,BL LASER,39,,12.703815026768893
LIV_54,QCHZ2,1.741496,4,8.090875,-43119,-59966,63N0G,BL LASER,40,,12.703815026768893
LIV_54,QCHZ2,1.74658,4,8.383343,-43119,-59966,63N0G,BL LASER,41,,12.703815026768893
LIV_54,QCHZ2,1.751626,4,8.675811,-43119,-59966,63N0G,BL LASER,42,,12.703815026768893
LIV_54,QCHZ2,1.756749,4,8.971565,-43119,-59966,63N0G,BL LASER,43,,12.703815026768893
LIV_54,QCHZ2,1.761833,4,9.26239,-43119,-59966,63N0G,BL LASER,44,,12.703815026768893
LIV_54,QCHZ2,1.766917,4,9.556501,-43119,-59966,63N0G,BL LASER,45,,12.703815026768893
LIV_54,QCHZ2,1.771963,4,9.855541,-43119,-59966,63N0G,BL LASER,46,,12.703815026768893
LIV_54,QCHZ2,1.777008,4,10.152938,-43119,-59966,63N0G,BL LASER,47,,12.703815026768893
LIV_54,QCHZ2,1.782054,4,10.448692,-43119,-59966,63N0G,BL LASER,48,,12.703815026768893
LIV_54,QCHZ2,1.787099,4,10.742803,-43119,-59966,63N0G,BL LASER,49,,12.703815026768893
LIV_54,QCHZ2,1.792068,4,11.03527,-43119,-59966,63N0G,BL LASER,50,,12.703815026768893
LIV_54,QCHZ2,1.797036,4,11.331024,-43119,-59966,63N0G,BL LASER,51,,12.703815026768893
LIV_54,QCHZ2,1.802043,4,11.623492,-43119,-59966,63N0G,BL LASER,52,,12.703815026768893
LIV_54,QCHZ2,1.807011,4,11.914317,-43119,-59966,63N0G,BL LASER,53,,12.703815026768893
LIV_54,QCHZ2,1.81198,4,12.205142,-43119,-59966,63N0G,BL LASER,54,,12.703815026768893
LIV_54,QCHZ2,1.816987,4,12.502539,-43119,-59966,63N0G,BL LASER,55,,12.703815026768893
LIV_54,QCHZ2,1.821993,4,12.79665,-43119,-59966,63N0G,BL LASER,56,,12.703815026768893
LIV_54,QCHZ2,1.826923,4,13.089117,-43119,-59966,63N0G,BL LASER,57,,12.703815026768893
